"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2018-09-04",0,FALSE,"1036791727875653635",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Webnetwork1","<a href=""http://www.webnetwork.com.au"" rel=""nofollow"">Webnetwork.com.au</a>","Selvaggio Lawyers have amended their page visit them on https://t.co/LOb2uNhyvk #Australia #business #Sydney",FALSE
"2018-09-04",0,FALSE,"1036791727611203584",FALSE,NA,NA,NA,NA,NA,0,FALSE,"ranjeetsingh243","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","India to use Iranian ships to skirt US oil sanctions https://t.co/7KLxg5ULJS https://t.co/IXwj87dVVN",FALSE
"2018-09-04",0,FALSE,"1036791727087071232",TRUE,NA,NA,NA,NA,NA,131,FALSE,"emileesorondo_","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @isabelaseraffim: My business is nobody’s business but mine",FALSE
"2018-09-04",0,FALSE,"1036791725916872705",FALSE,NA,NA,NA,NA,NA,0,FALSE,"KarinaPandya","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","How Digitization Is Changing World Business https://t.co/RqJq9BbG59 via @YouTube",FALSE
"2018-09-04",0,FALSE,"1036791725077852160",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Poole_Jobs","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Marketing Executive, Poole: This business is looking for a Senior Marketing Executive to take on the task of headin… https://t.co/mdSEHcmuY1",TRUE
"2018-09-04",0,FALSE,"1036791724851580933",TRUE,NA,NA,NA,NA,NA,44,FALSE,"brad_pounders","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @getalab: the @NCAA spent more time investigating Donte Moncrief’s brother’s hair cutting business than it did investigating the rape of…",FALSE
"2018-09-04",0,FALSE,"1036791724108988417",FALSE,NA,NA,NA,NA,NA,0,FALSE,"talentgardenes","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Wish, Netflix, Uber and ~100 others testing WhatsApp’s new Business API https://t.co/9Cl783WOJG via @TechCrunch https://t.co/6kMkhtdTzh",FALSE
"2018-09-04",0,FALSE,"1036791723857338368",TRUE,NA,NA,NA,NA,NA,581,FALSE,"Trojan4LifeWS","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LaylaAlisha11: After years of corrupt Clinton’s, how about Biden family corruption! There is large amounts of foreign $ flowing in &amp; th…",FALSE
"2018-09-04",0,FALSE,"1036791723714736130",FALSE,NA,NA,NA,NA,NA,0,FALSE,"juketter","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","公務員の人気に陰り？：大学1～2年生が「将来働きたい企業」、2位は「Apple」　1位は……？ - ITmedia ビジネスオンライン https://t.co/y4M9aWbuKR やっぱパナソニックって神だわ",FALSE
"2018-09-04",0,FALSE,"1036791723534573568",TRUE,NA,NA,NA,NA,NA,2532,FALSE,"LoveableNiki","<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","RT @JOEL9ONE: Nike is a huge business. They’ve calculated risk. They may even have reason to believe this will make the brand more popular…",FALSE
"2018-09-04",0,FALSE,"1036791722565500929",FALSE,NA,NA,NA,NA,NA,0,FALSE,"AdekunleAyan","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","The maternity kit that's saving lives in Nigeria https://t.co/H4I4Ycsykx https://t.co/4JUZHH6QFb",FALSE
"2018-09-04",0,FALSE,"1036791721693200384",FALSE,NA,NA,NA,NA,NA,0,FALSE,"ScottDambrosio","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","akes nothing but money is a poor kind of business. -Henry Ford .,.A business that m",FALSE
"2018-09-04",0,FALSE,"1036791721429016577",TRUE,NA,NA,NA,NA,NA,2532,FALSE,"Bobby_Hutton","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @JOEL9ONE: Nike is a huge business. They’ve calculated risk. They may even have reason to believe this will make the brand more popular…",FALSE
"2018-09-04",0,FALSE,"1036791721273839616",TRUE,NA,NA,NA,NA,NA,13,FALSE,"PaulSaccuci","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @MikeSchiemer: A Business That's Well-Planned Gives You A Swell Brand https://t.co/fq2DCSawc7 / #Branding #Business #Startup #Entreprene…",FALSE
"2018-09-04",0,FALSE,"1036791720782979072",FALSE,NA,NA,NA,NA,NA,0,FALSE,"AbbySandrs","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","#NBC_News Boss Andrew Lack Defends Handling of Weinstein Story https://t.co/Jc6o9uu3bN",FALSE
"2018-09-04",0,FALSE,"1036791719956754439",TRUE,NA,NA,NA,NA,NA,1499,FALSE,"Britt_S_O","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","RT @thefootballgirl: Nike is a business. They looked at their demographics and decided they'd be just fine without the MAGA money.",FALSE
"2018-09-04",0,FALSE,"1036791719189078016",TRUE,NA,NA,NA,NA,NA,19,FALSE,"pk_hiraoka","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @unitcom_info: #水沢まい  さんも愛用の #iiyamaPC ビジネスPC『SOLUTION∞』！
安定動作とセキュリティを両立するビジネスPCです！
https://t.co/vHkJY5xEsU
#無限女子 #仮面女子 #パソコン工房 #ビジネスPC…",FALSE
"2018-09-04",0,FALSE,"1036791718346207233",FALSE,NA,NA,NA,NA,NA,0,FALSE,"SamsonLeRien","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","« La réforme de l’État est un business pour les entreprises » https://t.co/M0YQCYEv4E via @humanite_fr",FALSE
"2018-09-04",0,FALSE,"1036791718249619456",TRUE,NA,NA,NA,NA,NA,4551,FALSE,"cintay4361","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @RealCandaceO: Congratulations to @adidas for a wonderful win in business today! 

They are proof that sometimes all you have to do is s…",FALSE
"2018-09-04",0,FALSE,"1036791718094360576",TRUE,NA,NA,NA,NA,NA,1596,FALSE,"Diane28255050","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @OliverMcGee: Retweet if you believe @POTUS has kept his promises made to blacks.

Black unemployment is at record lows. Black business…",FALSE
"2018-09-04",0,FALSE,"1036791717989679105",TRUE,NA,NA,NA,NA,NA,401,FALSE,"allynvkz","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Apolinar300: Y’all hit up and support my moms lil business she sells all hand made Mexican huraches,dresses, and everything else if she…",FALSE
"2018-09-04",0,FALSE,"1036791716806885376",FALSE,NA,NA,"1036642006926323713","NBrossette","1499248416",0,FALSE,"cbbrown8297","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@NBrossette Big man, we knew , now they know!!! Way to handle your business.  Keep grinding",FALSE
"2018-09-04",0,FALSE,"1036791714172882944",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Minervity","<a href=""http://www.bitrebels.com"" rel=""nofollow"">Bit Rebels Syndication</a>","4 Ways To Improve Your Customer Service Calls https://t.co/U7R3Jn9VQ2",FALSE
